Symbol_x,Structure,Total Sites_x,Li Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Li Sites,Diff per Counter Ion Sites,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Reduced Formula,Anion Site,Structure_SG
O,Li8 O4,12,8.0,4.0,0.136121524908287,0.0113434604090239,0.0170151906135358,0.0340303812270717,Li8 O4,O,15.999,152.0,3.44,13.618,1.461,5.3,11.343460409023916,17.015190613535875,0.6666666666666666,0.3333333333333333,0.0340303812270717,0.0015057894347418,1.505789434741822,Pnma,62,12,Li2O,0.5,Li-O0.5
O,Li2 O1,3,2.0,1.0,0.0285519563627454,0.0095173187875818,0.0142759781813727,0.0285519563627454,Li2 O1,O,15.999,152.0,3.44,13.618,1.461,5.3,9.517318787581816,14.275978181372723,0.6666666666666666,0.3333333333333333,0.0285519563627454,0.001133178327498,1.133178327498,Fm-3m,225,3,Li2O,0.5,Li-O0.5
O,Li68 O34,102,68.0,34.0,0.93336377558037,0.0091506252507879,0.0137259378761819,0.0274518757523638,Li68 O34,O,15.999,152.0,3.44,13.618,1.461,5.3,9.15062525078794,13.725937876181913,0.6666666666666666,0.3333333333333333,0.0274518757523638,0.0008946932907852,0.8946932907852831,P1,1,102,Li2O,0.5,Li-O0.5
O,Li68 O34,102,68.0,34.0,0.8542426153895899,0.0083749276018587,0.012562391402788,0.0251247828055761,Li68 O34,O,15.999,152.0,3.44,13.618,1.461,5.3,8.374927601858724,12.562391402788087,0.6666666666666666,0.3333333333333333,0.0251247828055761,0.0008524738105996,0.8524738105996187,P1,1,102,Li2O,0.5,Li-O0.5
O,Li4 O4,8,4.0,4.0,0.052691243799682,0.0065864054749602,0.0131728109499205,0.0131728109499205,Li4 O4,O,15.999,152.0,3.44,13.618,1.461,5.3,6.58640547496025,13.1728109499205,0.5,0.5,0.0131728109499205,0.0006919140254355,0.6919140254355078,P6_3/mmc,194,8,Li2O2,1.0,Li-O1.0
O,Li1 O1,2,1.0,1.0,0.0021241927888246,0.0010620963944123,0.0021241927888246,0.0021241927888246,Li1 O1,O,15.999,152.0,3.44,13.618,1.461,5.3,1.0620963944123,2.1241927888245997,0.5,0.5,0.0021241927888246,0.000129914301603,0.1299143016030278,Pm-3m,221,2,Li2O2,1.0,Li-O1.0
O,Li1 O1,2,1.0,1.0,0.0018863788169081,0.000943189408454,0.0018863788169081,0.0018863788169081,Li1 O1,O,15.999,152.0,3.44,13.618,1.461,5.3,0.943189408454075,1.88637881690815,0.5,0.5,0.0018863788169081,0.0001239712350438,0.1239712350438429,P4/mmm,123,2,Li2O2,1.0,Li-O1.0
O,Li4 O4,8,4.0,4.0,0.0055512886631799,0.0006939110828974,0.0013878221657949,0.0013878221657949,Li4 O4,O,15.999,152.0,3.44,13.618,1.461,5.3,0.6939110828974998,1.3878221657949996,0.5,0.5,0.0013878221657949,8.79650418040317e-05,0.0879650418040317,P6_3/mmc,194,8,Li2O2,1.0,Li-O1.0
O,Li1 O2,3,1.0,2.0,0.0032268183917511,0.0010756061305837,0.0032268183917511,0.0016134091958755,Li1 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,1.075606130583733,3.226818391751199,0.3333333333333333,0.6666666666666666,0.0016134091958755,0.00011167446961,0.1116744696100392,R-3m,166,3,LiO2,2.0,Li-O2.0
O,Li2 O4,6,2.0,4.0,0.0062968374449664,0.0010494729074944,0.0031484187224832,0.0015742093612416,Li2 O4,O,15.999,152.0,3.44,13.618,1.461,5.3,1.0494729074944,3.1484187224832,0.3333333333333333,0.6666666666666666,0.0015742093612416,0.0001145141014129,0.1145141014129952,C2/m,12,6,LiO2,2.0,Li-O2.0
